Category,Quote,Author
gods,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
memory,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
moderation,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
pain,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
sleep,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
suffering,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
wisdom,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
life-lessons,"Betray a friend, and you'll often find you have ruined yourself.",Aesop
philosophy,"Convinced that in trying to please all, he had pleased none, and had lost his ass into the bargain.",Aesop
life-lessons,Necessity is the mother of invention.,Aesop
compassion,"No act of kindness, no matter how small, is ever wasted.",Aesop
inspirational,"No act of kindness, no matter how small, is ever wasted.",Aesop
kindness,"No act of kindness, no matter how small, is ever wasted.",Aesop
life-truths,No one believes a liar even when he tells the truth.,Aesop
wisdom,No one believes a liar even when he tells the truth.,Aesop
wisdom,"Once a wolf, always a wolf.",Aesop
humor,We hang the petty thieves and appoint the great ones to public office.,Aesop
agatha-christie,"And yet,"" said Poirot, ""suppose an accident-""Ah, no, my friend-""From your point of view it would be regrettable, I agree. But nevertheless let us just for one moment suppose it. Then, perhaps, all these here are linked together - by death.",Agatha Christie
death,"And yet,"" said Poirot, ""suppose an accident-""Ah, no, my friend-""From your point of view it would be regrettable, I agree. But nevertheless let us just for one moment suppose it. Then, perhaps, all these here are linked together - by death.",Agatha Christie
murder,"And yet,"" said Poirot, ""suppose an accident-""Ah, no, my friend-""From your point of view it would be regrettable, I agree. But nevertheless let us just for one moment suppose it. Then, perhaps, all these here are linked together - by death.",Agatha Christie
murder-on-the-orient-express,"And yet,"" said Poirot, ""suppose an accident-""Ah, no, my friend-""From your point of view it would be regrettable, I agree. But nevertheless let us just for one moment suppose it. Then, perhaps, all these here are linked together - by death.",Agatha Christie
myserty,"And yet,"" said Poirot, ""suppose an accident-""Ah, no, my friend-""From your point of view it would be regrettable, I agree. But nevertheless let us just for one moment suppose it. Then, perhaps, all these here are linked together - by death.",Agatha Christie
death,Death was for-the other people.,Agatha Christie
inspirational,"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",Agatha Christie
education,I suppose it is because nearly all children go to school nowadays and have things arranged for them that they seem so forlornly unable to produce their own ideas.,Agatha Christie
homeschool,I suppose it is because nearly all children go to school nowadays and have things arranged for them that they seem so forlornly unable to produce their own ideas.,Agatha Christie
homeschooling,I suppose it is because nearly all children go to school nowadays and have things arranged for them that they seem so forlornly unable to produce their own ideas.,Agatha Christie
learning,I suppose it is because nearly all children go to school nowadays and have things arranged for them that they seem so forlornly unable to produce their own ideas.,Agatha Christie
philosophy,"If you place your head in a lion's mouth, then you cannot complain one day if he happens to bite it off.",Agatha Christie
experience,"In fact there is only your own instinct?Not instinct, Hastings. Instinct is a bad word. It is my knowledge-my experience-that tells me that something about that letter is wrong-.",Agatha Christie
instinct,"In fact there is only your own instinct?Not instinct, Hastings. Instinct is a bad word. It is my knowledge-my experience-that tells me that something about that letter is wrong-.",Agatha Christie
knowledge,"In fact there is only your own instinct?Not instinct, Hastings. Instinct is a bad word. It is my knowledge-my experience-that tells me that something about that letter is wrong-.",Agatha Christie
death,"In the midst of life, we are in death.",Agatha Christie
life,"In the midst of life, we are in death.",Agatha Christie
love,"It is a curious thought, but it is only when you see people looking ridiculous that you realize just how much you love them.",Agatha Christie
books,"It is clear that the books owned the shop rather than the other way about. Everywhere they had run wild and taken possession of their habitat, breeding and multiplying, and clearly lacking any strong hand to keep them down.",Agatha Christie
bookstore,"It is clear that the books owned the shop rather than the other way about. Everywhere they had run wild and taken possession of their habitat, breeding and multiplying, and clearly lacking any strong hand to keep them down.",Agatha Christie
relationships,No one human being knows the full truth about another human being. Not even one's nearest and dearest.,Agatha Christie
revelation-of-self,No one human being knows the full truth about another human being. Not even one's nearest and dearest.,Agatha Christie
truth,No one human being knows the full truth about another human being. Not even one's nearest and dearest.,Agatha Christie
dentist,"No, my friend, I am not drunk. I have just been to the dentist, and need not return for another six months! Is it not the most beautiful thought?-Poirot.",Agatha Christie
humor,"No, my friend, I am not drunk. I have just been to the dentist, and need not return for another six months! Is it not the most beautiful thought?-Poirot.",Agatha Christie
the-patriotic-murders,"No, my friend, I am not drunk. I have just been to the dentist, and need not return for another six months! Is it not the most beautiful thought?-Poirot.",Agatha Christie
hope,One always has hope for human nature.,Agatha Christie
human-nature,One always has hope for human nature.,Agatha Christie
fate,One knows so little. When one knows more it is too late.,Agatha Christie
knowledge,One knows so little. When one knows more it is too late.,Agatha Christie
books,"One little Indian left all alone, he went out and hanged himself and then there were none.",Agatha Christie
mystery,"One little Indian left all alone, he went out and hanged himself and then there were none.",Agatha Christie
nursery-rhyme,"One little Indian left all alone, he went out and hanged himself and then there were none.",Agatha Christie
rhyme,"One little Indian left all alone, he went out and hanged himself and then there were none.",Agatha Christie
suicide,"One little Indian left all alone, he went out and hanged himself and then there were none.",Agatha Christie
humor,"Poirot,"" I said. ""I have been thinking.""An admirable exercise my friend. Continue it.",Agatha Christie
thinking,"Poirot,"" I said. ""I have been thinking.""An admirable exercise my friend. Continue it.",Agatha Christie
writing,The best time for planning a book is while you're doing the dishes.,Agatha Christie
life,"The truth is, that one doesn't really know anything about anybody. Not even the people who are nearest to you...''Isn't that going a little too far-exaggerating too much?''I don't think it is. When you think of people, it is in the image you have made of them for yourself.",Agatha Christie
relationships,"The truth is, that one doesn't really know anything about anybody. Not even the people who are nearest to you...''Isn't that going a little too far-exaggerating too much?''I don't think it is. When you think of people, it is in the image you have made of them for yourself.",Agatha Christie
detective,"The truth must be quite plain, if one could just clear away the litter.",Agatha Christie
investigation,"The truth must be quite plain, if one could just clear away the litter.",Agatha Christie
truth,"The truth must be quite plain, if one could just clear away the litter.",Agatha Christie
commitment,"There was a moment when I changed from an amateur to a professional. I assumed the burden of a profession, which is to write even when you don't want to, don't much like what you're writing, and aren't writing particularly well.",Agatha Christie
creative-process,"There was a moment when I changed from an amateur to a professional. I assumed the burden of a profession, which is to write even when you don't want to, don't much like what you're writing, and aren't writing particularly well.",Agatha Christie
professionalism,"There was a moment when I changed from an amateur to a professional. I assumed the burden of a profession, which is to write even when you don't want to, don't much like what you're writing, and aren't writing particularly well.",Agatha Christie
writing,"There was a moment when I changed from an amateur to a professional. I assumed the burden of a profession, which is to write even when you don't want to, don't much like what you're writing, and aren't writing particularly well.",Agatha Christie
inspirational,"To every problem, there is a most simple solution.",Agatha Christie
agatha-christie,Use that fluff of yours you call a brain.,Agatha Christie
funny,Use that fluff of yours you call a brain.,Agatha Christie
humor,Use that fluff of yours you call a brain.,Agatha Christie
stupidity,Use that fluff of yours you call a brain.,Agatha Christie
hope,"We are ready to despair too soon, we are ready to say, ‘What’s the good of doing anything?’ Hope is the virtue we should cultivate most in this present day and age.",Agatha Christie
virtue,"We are ready to despair too soon, we are ready to say, ‘What’s the good of doing anything?’ Hope is the virtue we should cultivate most in this present day and age.",Agatha Christie
happiness,What good is money if it can't buy happiness?,Agatha Christie
money,What good is money if it can't buy happiness?,Agatha Christie
wealth,What good is money if it can't buy happiness?,Agatha Christie
dreams-and-reality,"When you're in the middle of a nightmare, something ordinary is the only hope. Anyway, ordinary things are the best. I've always thought so.",Agatha Christie
hope,"When you're in the middle of a nightmare, something ordinary is the only hope. Anyway, ordinary things are the best. I've always thought so.",Agatha Christie
life,"When you're in the middle of a nightmare, something ordinary is the only hope. Anyway, ordinary things are the best. I've always thought so.",Agatha Christie
reality,"When you're in the middle of a nightmare, something ordinary is the only hope. Anyway, ordinary things are the best. I've always thought so.",Agatha Christie
fears,Where do one's fears come from? Where do they shape themselves? Where do they hide before coming out into the open?,Agatha Christie
philosophy,Where do one's fears come from? Where do they shape themselves? Where do they hide before coming out into the open?,Agatha Christie
questions,Where do one's fears come from? Where do they shape themselves? Where do they hide before coming out into the open?,Agatha Christie
agatha-christie,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
faithfulness,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
friends,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
funny,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
humor,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
husband,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
husband-and-wife-relationship,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
tommy-and-tuppance,"You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.",Agatha Christie
books,"Booksellers are the most valuable destination for the lonely, given the numbers of books written because authors couldn't find anyone to talk to.",Alain de Botton
booksellers,"Booksellers are the most valuable destination for the lonely, given the numbers of books written because authors couldn't find anyone to talk to.",Alain de Botton
loneliness,"Booksellers are the most valuable destination for the lonely, given the numbers of books written because authors couldn't find anyone to talk to.",Alain de Botton
control,Don't despair: despair suggests you are in total control and know what is coming. You don't - surrender to events with hope.,Alain de Botton
despair,Don't despair: despair suggests you are in total control and know what is coming. You don't - surrender to events with hope.,Alain de Botton
foresight,Don't despair: despair suggests you are in total control and know what is coming. You don't - surrender to events with hope.,Alain de Botton
hope,Don't despair: despair suggests you are in total control and know what is coming. You don't - surrender to events with hope.,Alain de Botton
surrender,Don't despair: despair suggests you are in total control and know what is coming. You don't - surrender to events with hope.,Alain de Botton
love,"Everyone endeavours to eliminate through the other individual his own weaknesses, defects, and deviations from the type, lest they be perpetuated or even grow into complete abnormalities in the child which will be produced.",Alain de Botton
philosophy,"Everyone endeavours to eliminate through the other individual his own weaknesses, defects, and deviations from the type, lest they be perpetuated or even grow into complete abnormalities in the child which will be produced.",Alain de Botton
relationships,"Everyone endeavours to eliminate through the other individual his own weaknesses, defects, and deviations from the type, lest they be perpetuated or even grow into complete abnormalities in the child which will be produced.",Alain de Botton
schopenhauer,"Everyone endeavours to eliminate through the other individual his own weaknesses, defects, and deviations from the type, lest they be perpetuated or even grow into complete abnormalities in the child which will be produced.",Alain de Botton
philosophy,"Far from rejecting outright any hierarchy of success or failure, philosophy instead reconfigures the judging process, lending legitimacy to theidea that themainstream value system may unfairly consign some people to disgrace and others to respectability.",Alain de Botton
